AAcomp_A,AAcomp_R,AAcomp_N,AAcomp_D,AAcomp_C,AAcomp_Q,AAcomp_E,AAcomp_G,AAcomp_H,AAcomp_I,AAcomp_L,AAcomp_K,AAcomp_M,AAcomp_F,AAcomp_P,AAcomp_S,AAcomp_T,AAcomp_W,AAcomp_Y,AAcomp_V,AAindex_ARGP820101_avg,AAindex_BULH740101_avg,AAindex_CHAM820102_avg,AAindex_CIDH920105_avg,AAindex_EISD840101_avg,AAindex_EISD860101_avg,AAindex_EISD860102_avg,AAindex_EISD860103_avg,AAindex_FAUJ830101_avg,AAindex_GOLD730101_avg,AAindex_GUYH850101_avg,AAindex_HOPT810101_avg,AAindex_JANJ790102_avg,AAindex_JOND750101_avg,AAindex_KYTJ820101_avg,AAindex_LAWE840101_avg,AAindex_LEVM760101_avg,AAindex_MANP780101_avg,AAindex_MIYS850101_avg,AAindex_NOZY710101_avg,AAindex_OOBM770101_avg,AAindex_OOBM770102_avg,AAindex_OOBM770103_avg,AAindex_OOBM770104_avg,AAindex_OOBM770105_avg,AAindex_OOBM850103_avg,AAindex_OOBM850104_avg,AAindex_PONP800101_avg,AAindex_PONP800102_avg,AAindex_PONP800103_avg,AAindex_PRAM900101_avg,AAindex_RADA880101_avg,AAindex_RADA880102_avg,AAindex_RADA880103_avg,AAindex_RADA880104_avg,AAindex_RADA880105_avg,AAindex_ROBB790101_avg,AAindex_ROSM880101_avg,AAindex_ROSM880102_avg,AAindex_SIMZ760101_avg,AAindex_SWER830101_avg,AAindex_VHEG790101_avg,AAindex_WERD780102_avg,AAindex_WERD780103_avg,AAindex_WERD780104_avg,AAindex_YUTK870101_avg,AAindex_YUTK870102_avg,AAindex_YUTK870103_avg,AAindex_YUTK870104_avg,AAindex_ZIMJ680101_avg,AAindex_PONP930101_avg,AAindex_WILM950101_avg,AAindex_WILM950102_avg,AAindex_WILM950103_avg,AAindex_WILM950104_avg,AAindex_KUHL950101_avg,AAindex_JURD980101_avg,AAindex_WOLR790101_avg,AAindex_KIDA850101_avg,AAindex_COWR900101_avg,AAindex_BLAS910101_avg,AAindex_CASG920101_avg,AAindex_ENGD860101_avg,AAindex_FASG890101_avg,class
0.1721,0.2134,0.1508,0.4328,0.1116,0.0837,0.5984,0.376,0.4637,0.3118,0.4159,0.3587,0.282,0.2992,0.0368,0.3274,0.2047,0.1007,0.3042,0.4017,0.6116,0.4077,0.6298,0.6113,0.53,0.5095,0.461,0.5,0.4842,0.4849,0.4928,0.5161,0.5591,0.6121,0.5347,0.4635,0.549,0.4661,0.5805,0.5924,0.4329,0.4916,0.4167,0.3364,0.3431,0.7028,0.3685,0.6667,0.6316,0.5838,0.5421,0.4492,0.6055,0.3208,0.5227,0.535,0.652,0.524,0.5501,0.6216,0.5198,0.5174,0.2702,0.2745,0.4256,0.7192,0.6287,0.8048,0.7965,0.4527,0.5118,0.4576,0.5022,0.6362,0.4136,0.5313,0.5533,0.4937,0.5537,0.4508,0.4204,0.5805,0.542,0.4277,C
0.381,0.1862,0.2085,0.5508,0.0712,0.2852,0.2112,0.4928,0.2349,0.3118,0.3246,0.1549,0.1922,0.2668,0.2009,0.4129,0.4745,0.2195,0.457,0.3146,0.3585,0.595,0.5117,0.413,0.5313,0.4894,0.2218,0.4625,0.443,0.3733,0.4945,0.3807,0.5959,0.3592,0.4403,0.4621,0.3972,0.3763,0.4152,0.5016,0.4122,0.3057,0.502,0.5272,0.585,0.3777,0.6552,0.4307,0.5067,0.4866,0.406,0.4722,0.5311,0.6053,0.556,0.535,0.4148,0.5239,0.5501,0.3821,0.4758,0.5351,0.464,0.5326,0.5098,0.4336,0.5137,0.7845,0.7907,0.3223,0.4543,0.4204,0.4628,0.4983,0.2425,0.5404,0.4614,0.5478,0.4707,0.4327,0.4478,0.5182,0.4056,0.5371,F
0.5509,0.4615,0.1142,0.4369,0.0564,0.2214,0.3584,0.376,0.1147,0.3977,0.3938,0.2198,0.3354,0.1881,0.2549,0.2833,0.1992,0.0871,0.3042,0.2172,0.5095,0.5271,0.398,0.4903,0.4701,0.4792,0.4796,0.4637,0.4259,0.4606,0.567,0.5134,0.5402,0.5099,0.4815,0.5501,0.5246,0.4758,0.4714,0.5179,0.4303,0.3837,0.4798,0.5355,0.6087,0.4488,0.5672,0.4856,0.494,0.5025,0.5206,0.441,0.5067,0.6262,0.5018,0.535,0.4907,0.521,0.5712,0.4966,0.49,0.5351,0.3651,0.3485,0.5029,0.436,0.4077,0.5455,0.5494,0.4527,0.5118,0.421,0.5158,0.4771,0.4136,0.564,0.4615,0.5191,0.5135,0.48,0.4371,0.5059,0.5204,0.529,F
0.381,0.2197,0.3106,0.4086,0.1847,0.2154,0.3534,0.3383,0.1876,0.4832,0.4373,0.2925,0.0908,0.4618,0.0948,0.5795,0.3953,0.0518,0.2243,0.2241,0.4769,0.5271,0.5675,0.4914,0.5057,0.4792,0.3808,0.4625,0.4848,0.4761,0.4188,0.4355,0.5402,0.495,0.4975,0.4963,0.4697,0.4705,0.4746,0.5402,0.4584,0.4639,0.4699,0.4033,0.4241,0.5566,0.3949,0.4953,0.5214,0.5383,0.4556,0.4539,0.5067,0.4268,0.48,0.535,0.5627,0.5239,0.5149,0.4955,0.5739,0.4747,0.492,0.5932,0.5759,0.4697,0.6138,0.7596,0.7643,0.4527,0.5118,0.55,0.5321,0.5548,0.67,0.5266,0.5151,0.485,0.5173,0.4487,0.4563,0.5467,0.4554,0.4659,F
0.381,0.2012,0.1422,0.3175,0.1025,0.2104,0.5089,0.376,0.3124,0.4094,0.256,0.2349,0.2438,0.3246,0.2267,0.3497,0.4022,0.3163,0.2107,0.3367,0.5256,0.5336,0.4745,0.4914,0.5614,0.5393,0.3206,0.5144,0.4951,0.4447,0.4928,0.4287,0.6012,0.5263,0.4642,0.4935,0.4377,0.5082,0.4746,0.5437,0.3953,0.377,0.4343,0.4234,0.4783,0.4488,0.4525,0.5271,0.5067,0.5394,0.4298,0.4492,0.5067,0.5126,0.5317,0.5761,0.501,0.4594,0.4949,0.4966,0.5018,0.5351,0.3134,0.4822,0.5465,0.4697,0.4882,0.792,0.783,0.4527,0.532,0.4446,0.5321,0.5563,0.4481,0.4979,0.4946,0.5545,0.476,0.4806,0.461,0.5725,0.4296,0.4895,F
0.3912,0.2425,0.2085,0.4685,0.2118,0.0679,0.3584,0.376,0.1075,0.7151,0.1818,0.4853,0.2339,0.2206,0.1793,0.1661,0.3324,0,0.272,0.2989,0.608,0.5271,0.5081,0.5486,0.4918,0.4243,0.4592,0.4789,0.4091,0.5418,0.5262,0.5454,0.496,0.495,0.4642,0.4574,0.5712,0.4661,0.4746,0.4642,0.4841,0.47,0.5014,0.5972,0.6652,0.6962,0.3529,0.5288,0.5095,0.4728,0.5413,0.4492,0.5218,0.6118,0.48,0.6348,0.501,0.5239,0.5501,0.5807,0.5048,0.5307,0.5087,0.4058,0.547,0.5759,0.4864,0.6566,0.7634,0.5855,0.5522,0.4446,0.4437,0.4771,0.6476,0.4838,0.4911,0.5631,0.5728,0.4244,0.4596,0.5502,0.5415,0.5261,C
0.4826,0.3149,0.1391,0.6033,0.1116,0.2778,0.1818,0.5152,0.1956,0.3118,0.4759,0.1324,0.2081,0.0401,0.1359,0.1812,0.3399,0.0743,0.3957,0.3146,0.4891,0.5271,0.6165,0.5822,0.483,0.5159,0.2885,0.561,0.5445,0.4741,0.4928,0.3673,0.6958,0.4893,0.6153,0.5091,0.3926,0.4661,0.5664,0.5517,0.4424,0.2506,0.3585,0.5488,0.6618,0.571,0.5652,0.6785,0.6774,0.6607,0.3904,0.5712,0.5798,0.4974,0.6682,0.535,0.5916,0.4314,0.5501,0.5038,0.5721,0.4631,0.3301,0.2566,0.5536,0.4697,0.588,0.6963,0.7013,0.4875,0.6756,0.5073,0.5321,0.5339,0.3652,0.4358,0.4614,0.6519,0.4152,0.4487,0.4501,0.6695,0.3901,0.3663,C
0.4438,0.5094,0.2085,0.4592,0.0934,0.2214,0.3584,0.376,0.1265,0.3658,0.2646,0.0714,0.1346,0.3374,0.1934,0.3497,0.3177,0.1441,0.3042,0.2557,0.4954,0.6283,0.3831,0.4914,0.4471,0.4792,0.4123,0.4088,0.4072,0.3811,0.5624,0.4354,0.5755,0.3593,0.4314,0.4544,0.4599,0.4005,0.4746,0.4609,0.436,0.4527,0.4444,0.5161,0.6305,0.5212,0.6613,0.436,0.4673,0.5024,0.4903,0.3627,0.5067,0.4974,0.4233,0.5224,0.4796,0.5239,0.6188,0.4966,0.4682,0.5825,0.3651,0.5352,0.5693,0.3292,0.3495,0.4709,0.4857,0.3166,0.5118,0.4519,0.5266,0.3681,0.4102,0.5985,0.4614,0.4498,0.5263,0.4275,0.4501,0.555,0.4899,0.5297,F
0.381,0.6003,0.101,0.3544,0.0437,0.084,0.3584,0.5502,0.0888,0.3118,0.6117,0.2002,0.0945,0.182,0.1973,0.1645,0.3086,0.0673,0.1347,0.3146,0.483,0.4901,0.3058,0.4914,0.5079,0.4323,0.5239,0.5876,0.4661,0.4615,0.5,0.4852,0.593,0.495,0.5996,0.5723,0.5088,0.6184,0.526,0.5179,0.4424,0.3151,0.4669,0.5554,0.6733,0.4763,0.4905,0.6143,0.6088,0.6006,0.4893,0.4969,0.5067,0.7068,0.48,0.6409,0.4937,0.4706,0.5059,0.5107,0.5541,0.5351,0.2812,0.3067,0.5652,0.424,0.4325,0.4207,0.4269,0.4811,0.6253,0.4909,0.6899,0.192,0.3117,0.4921,0.4614,0.5898,0.4963,0.5425,0.4918,0.5564,0.4891,0.4507,C
0.3685,0.3046,0.2085,0.286,0.0776,0.0995,0.3584,0.376,0.1576,0.5012,0.1043,0.2134,0.2516,0.2992,0.2267,0.4868,0.4871,0.1197,0.2392,0.3146,0.4786,0.4877,0.4985,0.5523,0.483,0.5289,0.3871,0.4625,0.501,0.433,0.4928,0.382,0.6385,0.479,0.5719,0.4202,0.4291,0.4661,0.5832,0.6234,0.3734,0.4705,0.3455,0.3669,0.4728,0.6488,0.3602,0.5791,0.5986,0.6276,0.3825,0.4904,0.5822,0.462,0.4789,0.513,0.5784,0.501,0.4933,0.4966,0.5198,0.4038,0.3651,0.7668,0.7368,0.4697,0.4312,0.6635,0.6697,0.4265,0.6298,0.4446,0.6422,0.4771,0.6325,0.4897,0.5792,0.5272,0.4971,0.4911,0.4501,0.6672,0.3824,0.4472,F
0.3393,0.2314,0.3345,0.3318,0.0964,0.1237,0.4684,0.3643,0.1306,0.3964,0.2445,0.1915,0.2339,0.2947,0.2359,0.5244,0.1766,0.4958,0.3634,0.297,0.5661,0.4915,0.5197,0.5259,0.5414,0.5404,0.326,0.4625,0.5021,0.4973,0.4622,0.4007,0.5933,0.5668,0.4642,0.5537,0.4073,0.4768,0.5077,0.5846,0.4217,0.4499,0.4266,0.3532,0.4213,0.4488,0.493,0.4953,0.5159,0.5432,0.4361,0.4833,0.5514,0.4287,0.4924,0.535,0.5394,0.4892,0.5158,0.4966,0.5287,0.4909,0.4349,0.5508,0.4418,0.5086,0.4416,0.7459,0.7432,0.4527,0.522,0.4446,0.5321,0.5759,0.5507,0.531,0.4742,0.4924,0.4447,0.5037,0.4761,0.5821,0.4359,0.4979,F
0.363,0.4751,0.1436,0.3523,0.0382,0.1348,0.3609,0.4933,0.2912,0.3479,0.3428,0.1401,0.2339,0.2867,0.1942,0.3117,0.5548,0.059,0.3042,0.3432,0.4298,0.5335,0.3824,0.4886,0.4929,0.4662,0.4543,0.5057,0.4559,0.4018,0.4788,0.4429,0.5837,0.495,0.4946,0.5256,0.464,0.4895,0.4746,0.5143,0.4424,0.4089,0.3926,0.4582,0.5518,0.4361,0.5659,0.5381,0.5494,0.5638,0.4553,0.4492,0.4789,0.4974,0.4601,0.535,0.5284,0.5332,0.5501,0.4595,0.5198,0.5541,0.3425,0.449,0.5979,0.434,0.4074,0.6566,0.5246,0.4328,0.5534,0.4412,0.5622,0.4771,0.4136,0.5581,0.4614,0.4917,0.5199,0.4563,0.4345,0.5662,0.455,0.4925,F
0.2946,0.2673,0.2361,0.4819,0.1116,0.3493,0.3584,0.2315,0.2074,0.2959,0.4232,0.2746,0.1766,0.3177,0.1384,0.4443,0.3419,0.252,0.3042,0.2446,0.4954,0.4979,0.6243,0.4914,0.4325,0.4626,0.4349,0.3586,0.4332,0.4727,0.4928,0.462,0.4705,0.48,0.3923,0.4885,0.4866,0.4661,0.4507,0.5581,0.5393,0.5659,0.5206,0.3143,0.3092,0.3674,0.5475,0.4367,0.5067,0.4682,0.5423,0.4492,0.5067,0.4974,0.48,0.4409,0.4814,0.6041,0.6092,0.5016,0.5207,0.5351,0.364,0.4403,0.3928,0.4697,0.5345,0.6566,0.7115,0.4527,0.4686,0.4632,0.5171,0.4771,0.429,0.6403,0.4614,0.4924,0.5565,0.4014,0.4501,0.4661,0.5419,0.5477,F
0.3271,0.3134,0.228,0.405,0.1116,0.3614,0.3584,0.2661,0.2003,0.3118,0.3538,0.2195,0.2339,0.2992,0.2068,0.5303,0.4421,0.0435,0.3042,0.3146,0.355,0.5271,0.4791,0.3787,0.412,0.414,0.4104,0.3775,0.3971,0.365,0.4928,0.4936,0.4968,0.495,0.4642,0.453,0.5129,0.3551,0.405,0.4217,0.5069,0.4323,0.5578,0.4824,0.4825,0.3454,0.5904,0.4041,0.5067,0.4768,0.5108,0.4492,0.5067,0.4676,0.4,0.4618,0.501,0.6234,0.6122,0.3667,0.4525,0.5904,0.3853,0.4622,0.5004,0.426,0.4934,0.6566,0.668,0.3574,0.4227,0.3898,0.4485,0.4771,0.429,0.6404,0.4,0.4069,0.5826,0.3753,0.3616,0.4397,0.5104,0.575,F
0.381,0.3959,0.0984,0.4741,0.0378,0.2214,0.4694,0.2976,0.1153,0.3118,0.4623,0.2167,0.2339,0.2837,0.2029,0.5102,0.2522,0.0875,0.3042,0.3105,0.4954,0.5126,0.4961,0.4914,0.4199,0.4143,0.491,0.4625,0.4116,0.4178,0.4928,0.5372,0.4843,0.495,0.4278,0.5449,0.5512,0.4661,0.4501,0.4874,0.5099,0.5024,0.5188,0.4222,0.4348,0.3798,0.5969,0.4953,0.5067,0.4989,0.5619,0.4492,0.4507,0.4524,0.48,0.4833,0.4554,0.61,0.5501,0.4625,0.4918,0.6149,0.2055,0.3578,0.4388,0.4421,0.4915,0.5963,0.5992,0.4294,0.4624,0.4475,0.5321,0.4207,0.427,0.6465,0.4614,0.4137,0.5756,0.4408,0.3773,0.4118,0.5615,0.5601,F
0.6609,0.1024,0.0453,0.3462,0.1565,0.3012,0.718,0.3942,0.0795,0.2298,0.1421,0.0359,0.5921,0.3261,0.2651,0.3437,0.4299,0,0.3217,0.3615,0.4954,0.5271,0.5595,0.3885,0.483,0.5463,0.1541,0.5069,0.4703,0.2802,0.4928,0.4452,0.6894,0.3559,0.5349,0.4285,0.4348,0.4768,0.4746,0.4433,0.3288,0.1088,0.5069,0.6231,0.659,0.5266,0.7225,0.4953,0.5455,0.5898,0.3525,0.4492,0.5067,0.7478,0.6024,0.7107,0.3845,0.5239,0.4878,0.3261,0.5198,0.5351,0.1848,0.5786,0.5988,0.4886,0.4277,0.8851,0.8719,0.4527,0.5118,0.3999,0.5321,0.4771,0.4136,0.5414,0.5323,0.6443,0.4473,0.572,0.4408,0.51,0.3524,0.5259,F
0.3599,0.1784,0.1774,0.3519,0.0341,0.0438,0.46,0.6225,0.1039,0.3118,0.2458,0.4062,0.3316,0.4262,0.2267,0.2353,0.107,0.1577,0.4555,0.3146,0.6341,0.5271,0.5528,0.4914,0.5867,0.5565,0.3708,0.5175,0.476,0.5413,0.4139,0.4504,0.5613,0.6349,0.5375,0.6048,0.4695,0.4661,0.5278,0.6108,0.4424,0.4209,0.4235,0.46,0.5397,0.5779,0.4476,0.4953,0.5067,0.561,0.4513,0.4492,0.5826,0.5772,0.48,0.535,0.563,0.403,0.5111,0.4966,0.61,0.4289,0.297,0.5668,0.5503,0.4697,0.4896,0.8171,0.8183,0.5582,0.5118,0.4736,0.49,0.4771,0.4242,0.4187,0.4614,0.6327,0.457,0.516,0.4501,0.5625,0.4514,0.4873,C
0.413,0.5121,0,0.7502,0.0783,0.2214,0.3584,0.376,0.0795,0.3118,0.3246,0.1076,0.2339,0.2609,0.4419,0.3497,0.2456,0.2414,0.3042,0.3615,0.4954,0.5486,0.3636,0.4574,0.4848,0.4173,0.3901,0.4716,0.4488,0.4656,0.5954,0.4852,0.5402,0.5389,0.4537,0.7041,0.4644,0.3941,0.4248,0.4793,0.4041,0.4154,0.4224,0.5529,0.6976,0.4488,0.7722,0.4953,0.5067,0.5154,0.4976,0.4253,0.5067,0.7638,0.48,0.727,0.4758,0.4947,0.5263,0.4966,0.5198,0.6441,0.3651,0.3115,0.4849,0.3122,0.3549,0.6566,0.4879,0.4527,0.5118,0.4416,0.5321,0.3469,0.2296,0.5189,0.4614,0.5431,0.432,0.5216,0.4623,0.4893,0.4975,0.5328,F
0.4887,0.5817,0.1177,0.4234,0.1111,0.2494,0.2498,0.3964,0.2446,0.3118,0.3656,0.0764,0.1802,0.3704,0.23,0.3834,0.4069,0.0857,0.2854,0.3707,0.4068,0.5271,0.3632,0.4722,0.483,0.4272,0.4632,0.4733,0.4512,0.3931,0.5092,0.434,0.5402,0.4068,0.4873,0.5323,0.4524,0.4661,0.4844,0.499,0.3872,0.4175,0.3977,0.4521,0.5567,0.4488,0.6573,0.512,0.5431,0.5798,0.4706,0.3887,0.444,0.5681,0.4396,0.523,0.474,0.5547,0.5632,0.421,0.5236,0.5351,0.335,0.4128,0.5791,0.3283,0.3746,0.4089,0.4179,0.3952,0.5442,0.4446,0.5321,0.3873,0.4136,0.5756,0.4614,0.4585,0.5027,0.4557,0.4276,0.5605,0.4703,0.4941,F
0.256,0.3174,0.2085,0.4371,0.1116,0.0692,0.4508,0.5769,0.1369,0.364,0.3869,0.2717,0.2339,0.2992,0.3043,0.2198,0.2961,0.0832,0.3042,0.4149,0.4954,0.5271,0.5374,0.5441,0.483,0.5039,0.4132,0.4822,0.4767,0.5701,0.4953,0.4661,0.5349,0.6334,0.4642,0.6931,0.4626,0.4661,0.4746,0.5857,0.4413,0.504,0.4669,0.4231,0.5018,0.4488,0.6144,0.4953,0.5282,0.5174,0.4992,0.5075,0.5067,0.5751,0.48,0.6222,0.5774,0.4603,0.5238,0.6614,0.5198,0.5343,0.3651,0.472,0.4667,0.4993,0.4659,0.686,0.687,0.4527,0.5326,0.5308,0.5689,0.3891,0.3812,0.5021,0.488,0.5608,0.4698,0.4487,0.5169,0.5125,0.4992,0.5047,C
0.381,0.2656,0.2085,0.5489,0.2707,0.2214,0.3584,0.376,0.0688,0.4372,0.4014,0.2791,0.4388,0.2992,0.1146,0.2123,0.4248,0.1044,0.3477,0.2084,0.4777,0.5337,0.6878,0.51,0.483,0.4644,0.4292,0.4483,0.4534,0.4789,0.4831,0.4725,0.5232,0.4784,0.4763,0.4027,0.5013,0.5039,0.4974,0.5179,0.4751,0.4293,0.5145,0.4476,0.4514,0.4488,0.4946,0.4953,0.5407,0.5377,0.5205,0.4334,0.5272,0.4066,0.505,0.5478,0.501,0.5239,0.5829,0.4726,0.5139,0.5595,0.4108,0.3293,0.4341,0.5612,0.5435,0.724,0.7245,0.4527,0.5508,0.4437,0.5321,0.5847,0.4856,0.6028,0.4694,0.465,0.5475,0.4487,0.4304,0.5351,0.5201,0.4797,F
0.2708,0.2583,0.2396,0.3056,0.0395,0.1899,0.3409,0.3977,0.2807,0.3478,0.4107,0.2081,0.256,0.4605,0.2267,0.4087,0.3408,0.2131,0.3042,0.3146,0.5804,0.4209,0.4354,0.5651,0.574,0.5972,0.3303,0.5415,0.5515,0.5499,0.4928,0.3513,0.6101,0.5808,0.4642,0.66,0.3585,0.513,0.5614,0.615,0.4424,0.423,0.3914,0.3346,0.3914,0.5113,0.4717,0.5452,0.5067,0.5798,0.383,0.5343,0.6042,0.4694,0.48,0.5584,0.597,0.4321,0.4547,0.4966,0.6147,0.5351,0.3487,0.5948,0.5599,0.5448,0.5544,0.6566,0.7342,0.4527,0.5515,0.4446,0.5321,0.5314,0.4136,0.4511,0.4614,0.553,0.4123,0.4487,0.4501,0.5889,0.3828,0.4368,F
0.3167,0.5166,0.1278,0.326,0.0948,0.2214,0.4772,0.3579,0.1925,0.1855,0.3278,0.1592,0.2389,0.2992,0.2318,0.3567,0.3469,0.1462,0.357,0.308,0.4982,0.5085,0.4878,0.4738,0.4233,0.446,0.536,0.4373,0.4452,0.4523,0.4974,0.4759,0.5043,0.4985,0.4145,0.5771,0.4875,0.4661,0.4974,0.5515,0.4846,0.5941,0.426,0.2873,0.3421,0.3377,0.6311,0.4693,0.5067,0.5355,0.5374,0.3552,0.4503,0.3906,0.369,0.535,0.5218,0.583,0.5881,0.5002,0.5198,0.5351,0.2537,0.5575,0.5343,0.3522,0.3472,0.4666,0.4661,0.4586,0.4938,0.4446,0.5321,0.3971,0.4136,0.6278,0.4614,0.378,0.5252,0.4487,0.4135,0.5089,0.5371,0.5219,F
0.4551,0.3618,0.1534,0.4403,0.1106,0.0851,0.3584,0.543,0.292,0.3896,0.3206,0.1825,0.2339,0.2765,0.2372,0.4163,0.295,0.1706,0.3042,0.3146,0.4776,0.5562,0.3255,0.5109,0.5565,0.482,0.3341,0.5407,0.4794,0.4079,0.4618,0.437,0.6473,0.478,0.5482,0.5238,0.4509,0.5072,0.4983,0.4928,0.3296,0.2719,0.4669,0.565,0.6746,0.4488,0.5012,0.4953,0.561,0.5747,0.4122,0.5082,0.5078,0.6935,0.5659,0.6677,0.5107,0.5239,0.482,0.4675,0.5198,0.4948,0.395,0.4204,0.5981,0.4697,0.4704,0.6566,0.6408,0.4239,0.5571,0.4229,0.5321,0.4635,0.4172,0.4549,0.5388,0.5972,0.4534,0.4863,0.4676,0.5962,0.412,0.4679,C
0.381,0.1503,0.2656,0.3953,0.1116,0.2214,0.3584,0.376,0.3112,0.4723,0.5312,0.2984,0.2339,0.5426,0.2267,0.2883,0.1803,0.1773,0.3149,0.3146,0.7523,0.2841,0.594,0.691,0.6225,0.6687,0.3345,0.5817,0.6161,0.6914,0.2952,0.3406,0.6121,0.495,0.4642,0.6893,0.3483,0.6246,0.6588,0.5179,0.4424,0.4876,0.3765,0.1996,0.2089,0.6368,0.3831,0.6343,0.622,0.6114,0.4069,0.5967,0.5067,0.3402,0.6018,0.535,0.501,0.5239,0.5501,0.7719,0.5198,0.5351,0.3309,0.5867,0.4762,0.7094,0.6874,0.8446,0.8507,0.7092,0.632,0.6623,0.7159,0.4771,0.5678,0.4068,0.4614,0.4924,0.3715,0.4487,0.6048,0.6284,0.4068,0.3513,C
0.3626,0.3147,0.1588,0.304,0.1116,0.2214,0.3584,0.173,0.0698,0.3118,0.4402,0.3464,0.1485,0.4008,0.2267,0.2586,0.3774,0.4239,0.3042,0.1763,0.6756,0.5271,0.713,0.574,0.483,0.5372,0.5409,0.4625,0.5013,0.6393,0.4928,0.4411,0.4406,0.6766,0.4243,0.5865,0.461,0.4936,0.5214,0.6827,0.5453,0.6898,0.4526,0.1534,0.1652,0.4091,0.4117,0.4953,0.4809,0.4853,0.5459,0.4401,0.5915,0.192,0.4252,0.3882,0.5813,0.5239,0.5656,0.4966,0.6182,0.5309,0.2974,0.4794,0.3926,0.4697,0.4689,0.6566,0.66,0.4527,0.5372,0.5635,0.6704,0.4357,0.4136,0.6212,0.4298,0.4924,0.5156,0.4487,0.4983,0.5236,0.5457,0.5192,C
0.381,0.1732,0.2186,0.3346,0.1116,0.4608,0.3584,0.376,0.0768,0.3118,0.2771,0.52,0.2452,0.2992,0.2267,0.3497,0.3561,0.1751,0.272,0.3146,0.4954,0.7401,0.4896,0.2505,0.2905,0.4792,0.4993,0.2142,0.2289,0.313,0.7356,0.6545,0.2915,0.495,0.2427,0.3167,0.6844,0.2384,0.2145,0.3097,0.6871,0.5001,0.4669,0.6062,0.5362,0.2483,0.4986,0.4953,0.5067,0.268,0.6654,0.4492,0.3456,0.4519,0.48,0.393,0.2465,0.7081,0.5501,0.2914,0.5198,0.6436,0.3784,0.3662,0.374,0.4697,0.4579,0.6566,0.7982,0.2518,0.259,0.2135,0.2524,0.4771,0.3614,0.7433,0.4614,0.35,0.7504,0.4487,0.253,0.2422,0.6651,0.777,F
0.3459,0.2001,0.3283,0.3866,0.1116,0.2214,0.3584,0.3851,0.1331,0.4105,0.3671,0.3004,0.2339,0.3641,0.2267,0.5757,0.4457,0,0.5388,0.1794,0.4531,0.4643,0.5813,0.5115,0.5371,0.5358,0.3444,0.4429,0.4729,0.4746,0.4928,0.3808,0.5402,0.4536,0.5099,0.5194,0.4227,0.4533,0.5065,0.567,0.4187,0.3719,0.4708,0.4639,0.5111,0.4488,0.4573,0.5008,0.5167,0.5401,0.3887,0.4492,0.6016,0.4863,0.5185,0.5611,0.5067,0.509,0.5501,0.4859,0.5198,0.5351,0.5488,0.6329,0.5902,0.5478,0.5652,0.7752,0.7827,0.4747,0.5304,0.4813,0.5321,0.5107,0.4686,0.5111,0.5153,0.4924,0.4862,0.4435,0.4501,0.5674,0.3886,0.4977,C
0.5706,0.0531,0.25,0.0997,0.027,0.052,0.3584,0.376,0.0824,0.5873,0.363,0.223,0.3506,0.5856,0.2267,0.3731,0.3182,0.2918,0.1389,0.4439,0.7055,0.2941,0.2959,0.8008,0.483,0.8686,0.0492,0.8808,0.7858,0.6884,0.4928,0.0856,0.5402,0.7057,0.4642,0.7433,0.1171,0.8248,0.4746,0.5179,0.4424,0.0261,0.4669,0.5039,0.713,0.9142,0.0541,0.8145,0.8178,0.8321,0.006,0.939,0.8425,0.8191,0.48,0.9322,0.501,0.5239,0.1563,0.4966,0.825,0,0.3651,0.8138,0.951,0.7492,0.7102,0.6566,0.9587,0.6043,0.838,0.7387,0.5321,0.3977,0.5813,0.0338,0.8877,1,0.1568,0.774,0.8692,0.9029,0.0061,0.2098,F
0.3933,0.3751,0.0331,0.3804,0.0573,0.2214,0.5569,0.3609,0.1747,0.505,0.2002,0.3941,0.3098,0.3822,0.2266,0.2518,0.2699,0.1769,0.3042,0.3825,0.6899,0.4563,0.4841,0.5853,0.4867,0.4904,0.5563,0.5038,0.4494,0.5465,0.4911,0.5519,0.4887,0.6907,0.4954,0.5806,0.562,0.5463,0.5161,0.5709,0.4721,0.5626,0.4276,0.3767,0.441,0.4488,0.4104,0.4953,0.5429,0.5327,0.5538,0.4615,0.5177,0.4521,0.4927,0.535,0.5722,0.5009,0.5501,0.6621,0.5647,0.5766,0.2342,0.3855,0.4971,0.4697,0.3935,0.626,0.6208,0.611,0.555,0.4327,0.536,0.4771,0.4136,0.5366,0.492,0.4899,0.5407,0.4781,0.4582,0.531,0.5538,0.5254,C
0.4187,0.2758,0.2085,0.4571,0.1735,0.1908,0.2409,0.376,0.2266,0.4659,0.3412,0.1818,0.134,0.2992,0.182,0.3578,0.3697,0.1912,0.4841,0.2927,0.575,0.446,0.5978,0.5946,0.5767,0.5566,0.3138,0.4625,0.5488,0.5502,0.4928,0.3397,0.6344,0.5757,0.5486,0.5605,0.3589,0.5448,0.4746,0.616,0.4424,0.4203,0.4669,0.3761,0.4647,0.541,0.52,0.5874,0.5986,0.6053,0.3924,0.5282,0.6159,0.4796,0.48,0.535,0.5997,0.4537,0.5501,0.4966,0.6151,0.4517,0.4508,0.4889,0.5337,0.5435,0.5351,0.7111,0.7167,0.5354,0.5118,0.5403,0.6087,0.4771,0.4665,0.4694,0.5448,0.5604,0.4171,0.5218,0.4501,0.6591,0.3922,0.4164,F
